id,imdb_id,budget,revenue,original_title,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj,profit,roi
135397,tt0369610,150000000,1513528810,Jurassic World,6/9/2015,5562,6.5,2015,137999939.3,1392445893,1254445953,10.09019207
76341,tt1392190,150000000,378436354,Mad Max: Fury Road,5/13/2015,6185,7.1,2015,137999939.3,348161292.5,210161353.2,2.522909027
262500,tt2908446,110000000,295238201,Insurgent,3/18/2015,2480,6.3,2015,101199955.5,271619025.4,170419069.9,2.683983645
140607,tt2488496,200000000,2068178225,Star Wars: The Force Awakens,12/15/2015,5292,7.5,2015,183999919,1902723130,1718723211,10.34089113
168259,tt2820852,190000000,1506249360,Furious 7,4/1/2015,2947,7.3,2015,174799923.1,1385748801,1210948878,7.927628211
281957,tt1663202,135000000,532950503,The Revenant,12/25/2015,3929,7.2,2015,124199945.4,490314247,366114301.7,3.947781504
87101,tt1340138,155000000,440603537,Terminator Genisys,6/23/2015,2598,5.8,2015,142599937.3,405355075.7,262755138.4,2.842603465
286217,tt3659388,108000000,595380321,The Martian,9/30/2015,4572,7.6,2015,99359956.28,547749654.3,448389698,5.51278075
211672,tt2293640,74000000,1156730962,Minions,6/17/2015,2893,6.5,2015,68079970.04,1064192017,996112046.8,15.63149949
150540,tt2096673,175000000,853708609,Inside Out,6/9/2015,3935,8,2015,160999929.2,785411574.7,624411645.5,4.878334909
206647,tt2379713,245000000,880674609,Spectre,10/26/2015,3254,6.2,2015,225399900.8,810220283.8,584820383,3.594590241
76757,tt1617661,176000003,183987723,Jupiter Ascending,2/4/2015,1937,5.2,2015,161919931.5,169268630.7,7348699.167,1.045384772
264660,tt0470752,15000000,36869414,Ex Machina,1/21/2015,2854,7.6,2015,13799993.93,33919845.96,20119852.03,2.457960933
257344,tt2120120,88000000,243637091,Pixels,7/16/2015,1575,5.8,2015,80959964.38,224146025.1,143186060.7,2.768603307
99861,tt2395427,280000000,1405035767,Avengers: Age of Ultron,4/22/2015,4304,7.4,2015,257599886.7,1292632337,1035032450,5.017984882
273248,tt3460252,44000000,155760117,The Hateful Eight,12/25/2015,2389,7.4,2015,40479982.19,143299244.6,102819262.4,3.540002659
260346,tt2446042,48000000,325771424,Taken 3,1/1/2015,1578,6.1,2015,44159980.57,299709578.2,255549597.6,6.786904667
102899,tt0478970,130000000,518602163,Ant-Man,7/14/2015,3779,7,2015,119599947.4,477113780,357513832.7,3.989247408
150689,tt1661199,95000000,542351353,Cinderella,3/12/2015,1495,6.8,2015,87399961.54,498963025.2,411563063.7,5.708961611
131634,tt1951266,160000000,650523427,The Hunger Games: Mockingjay - Part 2,11/18/2015,2380,6.5,2015,147199935.2,598481289.5,451281354.3,4.065771419
158852,tt1964418,190000000,209035668,Tomorrowland,5/19/2015,1899,6.2,2015,174799923.1,192312729.9,17512806.85,1.100187726
307081,tt1798684,30000000,91709827,Southpaw,6/15/2015,1386,7.3,2015,27599987.86,84373003.72,56773015.86,3.056994233
